Clock frequency is approx. 2301.0 MHz
Memory mountain (MB/sec)
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	
512m	9810	5651	3990	2887	2242	1848	1543	1334	1243	1172	1110	1052	1018	991	970	963	926	899	878	853	837	820	803	789	784	780	771	770	770	763	766	768	
256m	9797	5662	3993	2893	2250	1846	1543	1335	1244	1171	1109	1053	1016	987	971	963	926	898	877	854	837	819	802	787	783	779	770	769	769	762	764	766	
128m	9997	5649	4004	2892	2256	1851	1546	1336	1246	1173	1111	1053	1018	989	973	964	930	902	880	858	841	825	809	794	792	791	786	798	812	815	844	766	
64m	10946	6173	4215	3040	2362	1938	1607	1394	1314	1338	1292	1252	1257	1280	1368	1108	1464	1426	1584	1836	2078	2326	2633	2844	3008	3218	3289	3363	3382	3434	3457	894	
32m	20263	12467	8995	6849	5570	4721	4092	3598	3447	3371	3332	3363	3430	3538	3601	2811	3621	3609	3608	3592	3583	3565	3560	3557	3557	3555	3549	3553	3555	3545	3549	2535	
16m	23803	15078	10768	8163	6803	5884	5155	4579	4321	4119	3970	3853	3795	3753	3737	3712	3680	3654	3628	3611	3606	3592	3578	3568	3566	3563	3556	3558	3558	3547	3555	3555	
8m	23808	15104	10758	8169	6794	5889	5157	4576	4323	4129	3973	3850	3794	3756	3736	3714	3681	3656	3634	3610	3600	3589	3575	3565	3567	3563	3556	3555	3562	3545	3557	3564	
4m	23657	15014	10777	8191	6804	5901	5169	4587	4327	4135	3982	3858	3807	3765	3742	3721	3693	3661	3646	3624	3614	3605	3593	3579	3581	3578	3572	3576	3578	3565	3573	3567	
2m	23758	15048	10790	8153	6820	5920	5180	4590	4318	4133	3982	3869	3806	3772	3757	3719	3689	3667	3652	3631	3612	3601	3602	3589	3588	3585	3577	3578	3584	3578	3581	3576	
1024k	23797	14947	10773	8185	6832	5898	5170	4596	4326	4140	3977	3863	3802	3768	3756	3745	3701	3667	3651	3650	3625	3633	3614	3606	3659	3658	3706	3753	3827	3894	3868	3573	
512k	23684	14957	10800	8176	6785	5887	5165	4591	4332	4140	4015	3932	3929	3986	4037	3851	4337	4479	4702	4777	4975	5173	5647	5845	5883	6517	6289	7051	7352	7364	11602	3616	
256k	28998	20814	17525	14532	11916	10289	8913	7901	8048	8117	8353	8598	9064	9097	9446	7482	9603	9738	10274	10590	10921	10222	11578	11130	11221	11322	11611	10996	11784	12327	11871	7127	
128k	31624	27245	26331	22925	19389	16378	14271	12689	12181	12350	12009	12129	12242	12109	12343	12754	12243	12503	12342	12180	12284	12349	12416	12188	14207	12406	20016	12352	14422	26248	28530	12634	
64k	32284	26615	25659	22124	19112	16193	13827	12418	12310	12503	12438	12319	12300	14025	23599	12911	32374	32214	29948	32214	30420	30054	33447	30944	27792	28012	27242	32242	28250	30457	30593	11494	
32k	37456	36852	36528	34714	34347	33068	33244	31734	32590	33062	33103	32050	30201	31860	30831	26775	30370	26011	25928	28127	25279	26978	26639	22435	21228	24994	24921	23208	24054	27919	24322	22229	
16k	35700	32897	32137	30501	32214	29913	26922	25200	24348	22982	21281	19152	20134	19508	24160	16711	23325	21366	18712	19837	22158	19906	19050	17632	17525	15757	13806	17948	15090	19328	25311	21038	
