Function    Best Rate MB/s  Avg time     Min time     Max time
Copy:           12093.6     0.013253     0.013230     0.013266
Copy:           12090.2     0.013264     0.013234     0.013288
Copy:           12087.3     0.013265     0.013237     0.013285
Copy:           12289.7     0.013040     0.013019     0.013081
Copy:           12353.2     0.012987     0.012952     0.013116
Copy:           12304.1     0.013026     0.013004     0.013051
Copy:           12098.4     0.013256     0.013225     0.013273
Copy:           12097.4     0.013260     0.013226     0.013293
Copy:           12091.0     0.013263     0.013233     0.013378
Copy:           12068.2     0.013301     0.013258     0.013353
