Function    Best Rate MB/s  Avg time     Min time     Max time

Copy:             257.7     0.620967     0.620780     0.621336
Copy:             216.3     0.740269     0.739717     0.741672
Copy:             255.3     0.627067     0.626611     0.627387
Copy:             267.1     0.599356     0.599088     0.599666
Copy:             223.7     0.715463     0.715179     0.716091
Copy:             226.7     0.706407     0.705740     0.707110
Copy:             200.2     0.799497     0.799073     0.799960
Copy:             243.5     0.657497     0.657195     0.657923
Copy:             227.5     0.703644     0.703380     0.703953
Copy:             226.2     0.707629     0.707233     0.708413
