Function    Best Rate MB/s  Avg time     Min time     Max time

Copy:           73900.3     0.002634     0.002165     0.003216
Copy:           75863.5     0.002522     0.002109     0.003033
Copy:           72268.9     0.002612     0.002214     0.003072
Copy:           75225.7     0.002610     0.002127     0.003064
Copy:           75149.9     0.002572     0.002129     0.003448
Copy:           71430.4     0.002517     0.002240     0.003026
Copy:           75007.1     0.002393     0.002133     0.002845
Copy:           76009.6     0.002493     0.002105     0.002989
Copy:           74764.8     0.002537     0.002140     0.003042
Copy:           76268.7     0.002322     0.002098     0.002865
