Function    Best Rate MB/s  Avg time     Min time     Max time

Copy:           80398.8     0.002018     0.001990     0.002036
Copy:           79768.1     0.002023     0.002006     0.002048
Copy:           80168.3     0.002007     0.001996     0.002023
Copy:           80854.1     0.002004     0.001979     0.002042
Copy:           80283.4     0.002006     0.001993     0.002049
Copy:           80727.6     0.002003     0.001982     0.002036
Copy:           79484.6     0.002025     0.002013     0.002068
Copy:           79967.7     0.002017     0.002001     0.002038
Copy:           79758.6     0.002014     0.002006     0.002023
Copy:           80485.6     0.002011     0.001988     0.002024
